"Genus","Species","Subspecies","Strain","Status","LPSN_ID","address"
"Streptococcus","parasanguinis",NA,"ATCC 15912; CCUG 30417; DSM 6778; LMG 14537; Strain 55898","VL; sp. nov.; validly published under the ICNP; correct name",781368,"https://lpsn.dsmz.de/species/streptococcus-parasanguinis"
"Streptococcus","parasuis",NA,"DSM 29126; JCM 30273; SUT-286","VP; sp. nov.; validly published under the ICNP; correct name",792536,"https://lpsn.dsmz.de/species/streptococcus-parasuis"
"Streptococcus","parauberis",NA,"CCUG 39954; CIP 103956; DSM 6631; LMG 12174; NCDO 2020; NCFB 2020; NCIMB 702020","VL; sp. nov.; validly published under the ICNP; correct name",781369,"https://lpsn.dsmz.de/species/streptococcus-parauberis"
"Streptococcus","penaeicida",NA,"CAIM 1838; CECT 8596; DSM 26545","VP; sp. nov.; validly published under the ICNP; correct name",797670,"https://lpsn.dsmz.de/species/streptococcus-penaeicida"
"Streptococcus","peroris",NA,"ATCC 700780; CCUG 39814; CIP 105950; DSM 12493; GTC 848; JCM 10158; LMG 18719; NCTC 13785; O-66","VP; sp. nov.; validly published under the ICNP; correct name",781372,"https://lpsn.dsmz.de/species/streptococcus-peroris"
"Streptococcus","phocae","phocae","8399 H1; ATCC 51973; CCUG 35103; DSM 15635; LMG 16735; NCTC 12719; SVL 8399 H1","VP; subsp. nov.; validly published under the ICNP; correct name",791841,"https://lpsn.dsmz.de/subspecies/streptococcus-phocae-phocae"
"Streptococcus","phocae","salmonis","C-4; CECT 7921; DSM 24768; type strain: C-4","VP; subsp. nov.; validly published under the ICNP; correct name",791842,"https://lpsn.dsmz.de/subspecies/streptococcus-phocae-salmonis"
"Streptococcus","pluranimalium",NA,"ATCC 700864; CCUG 43803; CIP 106120; DSM 15636; LMG 14177; T70","VP; sp. nov.; validly published under the ICNP; correct name",781376,"https://lpsn.dsmz.de/species/streptococcus-pluranimalium"
"Streptococcus","plurextorum",NA,"1956-02; CCUG 52972; CECT 7308; DSM 22810; NCTC 14688","VP; sp. nov.; validly published under the ICNP; correct name",787759,"https://lpsn.dsmz.de/species/streptococcus-plurextorum"
"Streptococcus","pneumoniae",NA,"ATCC 33400; CCUG 28588; CIP 102911; DSM 20566; LMG 14545; NBIMCC 8789; NBRC 102642; NCTC 7465","VL; comb. nov.; validly published under the ICNP; correct name",781377,"https://lpsn.dsmz.de/species/streptococcus-pneumoniae"
"Streptococcus","porci",NA,"2923-03; CCUG 55896; CECT 7374; DSM 23759","VP; sp. nov.; validly published under the ICNP; correct name",788317,"https://lpsn.dsmz.de/species/streptococcus-porci"
"Streptococcus","porcinus",NA,"ATCC 43138; CCUG 27628; CCUG 41363; CIP 103218; DSM 20725; LMG 15980; NCTC 10999","VL; sp. nov.; validly published under the ICNP; correct name",781378,"https://lpsn.dsmz.de/species/streptococcus-porcinus"
"Streptococcus","porcorum",NA,"682-03; CCUG 58479; CECT 7593; DSM 28302","VP; sp. nov.; validly published under the ICNP; correct name",789349,"https://lpsn.dsmz.de/species/streptococcus-porcorum"
"Streptococcus","pseudopneumoniae",NA,"0108; ATCC BAA-960; CCUG 49455; CDC SS1757; DSM 18670; NCTC 13806","VL; sp. nov.; validly published under the ICNP; correct name",784991,"https://lpsn.dsmz.de/species/streptococcus-pseudopneumoniae"
"Streptococcus","pseudoporcinus",NA,"ATCC BAA-1381; DSM 18513; LQ 940-04; NCTC 13786; NCTC 14694","VL; sp. nov.; validly published under the ICNP; correct name",785273,"https://lpsn.dsmz.de/species/streptococcus-pseudoporcinus"
"Streptococcus","pyogenes",NA,"ATCC 12344; CCUG 12701; CCUG 4207; CIP 56.41; DSM 20565; JCM 5674; LMG 14700; NBIMCC 941; NCAIM B.01705; NCTC 8198","VL; sp. nov.; validly published under the ICNP; correct name",781379,"https://lpsn.dsmz.de/species/streptococcus-pyogenes"
"Streptococcus","raffinosi",NA,"BME SL 6.1; NBRC 116368; VTCC 12812","VP; sp. nov.; validly published under the ICNP; correct name",50604,"https://lpsn.dsmz.de/species/streptococcus-raffinosi"
"Streptococcus","ratti",NA,"ATCC 19645; CCUG 27502; CCUG 27642; CIP 102509; DSM 20564; HAMBI 1518; LMG 14650","VL; sp. nov.; validly published under the ICNP; correct name",781381,"https://lpsn.dsmz.de/species/streptococcus-ratti"
"Streptococcus","respiraculi",NA,"CGMCC 1.15531; DSM 101998; HTS25","VP; sp. nov.; validly published under the ICNP; correct name",797776,"https://lpsn.dsmz.de/species/streptococcus-respiraculi"
"Streptococcus","rifensis",NA,"CCMM B833; LMG 27684","VP; sp. nov.; validly published under the ICNP; correct name",791999,"https://lpsn.dsmz.de/species/streptococcus-rifensis"
"Streptococcus","rubneri",NA,"DSM 26920; LMG 27207","VP; sp. nov.; validly published under the ICNP; correct name",791271,"https://lpsn.dsmz.de/species/streptococcus-rubneri"
"Streptococcus","ruminantium",NA,"DSM 104980; GUT-187; JCM 31869","VP; sp. nov.; validly published under the ICNP; correct name",795865,"https://lpsn.dsmz.de/species/streptococcus-ruminantium"
"Streptococcus","ruminicola",NA,"CNU_G2; GDMCC 1.2785; KCTC 43308","VL; sp. nov.; validly published under the ICNP; correct name",9740,"https://lpsn.dsmz.de/species/streptococcus-ruminicola"
"Streptococcus","rupicaprae",NA,"2777-2-07; CCUG 59652; CECT 7718; DSM 28303","VP; sp. nov.; validly published under the ICNP; correct name",789376,"https://lpsn.dsmz.de/species/streptococcus-rupicaprae"
"Streptococcus","salivarius","salivarius","ATCC 7073; CCUG 11878; CCUG 17825; CCUG 50207; CIP 102503; DSM 20560; HAMBI 1716; JCM 5707; LMG 11489; NCDO 1779; NCFB 1779; NCIMB 701779; NCTC 8618","VL; subsp. nov.; validly published under the ICNP; correct name",788218,"https://lpsn.dsmz.de/subspecies/streptococcus-salivarius-salivarius"
"Streptococcus","salivarius","thermophilus","ATCC 19258; CCUG 21957; CIP 102303; DSM 20617; LMG 6896; NBIMCC 3916; NCDO 573; NCFB 573; NCIB 8510; NCIMB 8510","VL; comb. nov.; validly published under the ICNP; correct name",781384,"https://lpsn.dsmz.de/subspecies/streptococcus-salivarius-thermophilus"
"Streptococcus","saliviloxodontae",NA,"DSM 27513; JCM 19288; NUM 6306","VP; sp. nov.; validly published under the ICNP; correct name",792112,"https://lpsn.dsmz.de/species/streptococcus-saliviloxodontae"
"Streptococcus","sanguinis",NA,"ATCC 10556; CCUG 17826; CCUG 35770; CIP 55.128; DSM 20567; JCM 5708; LMG 14702; NCTC 7863; SK1","VL; sp. nov.; validly published under the ICNP; correct name",781385,"https://lpsn.dsmz.de/species/streptococcus-sanguinis"
"Streptococcus","sciuri",NA,"CCUG 76426; DSM 114656; NCTC 14727; SQ9-PEA","VP; sp. nov.; validly published under the ICNP; correct name",39914,"https://lpsn.dsmz.de/species/streptococcus-sciuri"
"Streptococcus","sinensis",NA,"CCUG 48363; CCUG 48488; DSM 14990; HKU4; LMG 21517","VL; sp. nov.; validly published under the ICNP; correct name",781386,"https://lpsn.dsmz.de/species/streptococcus-sinensis"
"Streptococcus","sobrinus",NA,"ATCC 33478; CCUG 25735; CIP 103230; DSM 20742; HAMBI 1516; LMG 14641; NCTC 12279; SL1","VP; sp. nov., nom. rev.; validly published under the ICNP; correct name",781387,"https://lpsn.dsmz.de/species/streptococcus-sobrinus"
"Streptococcus","suis","hashimotonensis","CCUG 77434; GTC 18290; PAGU 2482","VL; subsp. nov.; validly published under the ICNP; correct name",51209,"https://lpsn.dsmz.de/subspecies/streptococcus-suis-hashimotonensis"
"Streptococcus","suis","suis","ATCC 43764; ATCC 43765; CCUG 7984; CIP 103217; DSM 9682; Henrichsen S735; LMG 14181; NCTC 10234; S735","VL; subsp. nov.; validly published under the ICNP; correct name",55713,"https://lpsn.dsmz.de/subspecies/streptococcus-suis-suis"
"Streptococcus","suivaginalis",NA,"29896; NCTC 14941; NRRL B-65677","VP; sp. nov.; validly published under the ICNP; correct name",56845,"https://lpsn.dsmz.de/species/streptococcus-suivaginalis"
"Streptococcus","tangierensis",NA,"CCMM B832; LMG 27683","VL; sp. nov.; validly published under the ICNP; correct name",792773,"https://lpsn.dsmz.de/species/streptococcus-tangierensis"
"Streptococcus","thalassemiae",NA,"CECT 30109; CSUR Q2617; Marseille Q2617","VL; sp. nov.; validly published under the ICNP; correct name",39749,"https://lpsn.dsmz.de/species/streptococcus-thalassemiae"
"Streptococcus","thoraltensis",NA,"ATCC 700865; CCUG 32906; CCUG 37868; CIP 105518; DSM 12221; LMG 13593; S69","VP; sp. nov.; validly published under the ICNP; correct name",781391,"https://lpsn.dsmz.de/species/streptococcus-thoraltensis"
"Streptococcus","toyakuensis",NA,"CCUG 75492; JCM 34623; TP1632","VL; sp. nov.; validly published under the ICNP; correct name",3776,"https://lpsn.dsmz.de/species/streptococcus-toyakuensis"
"Streptococcus","troglodytae",NA,"DSM 25324; JCM 18038; TKU 31","VP; sp. nov.; validly published under the ICNP; correct name",790500,"https://lpsn.dsmz.de/species/streptococcus-troglodytae"
